history1,history2,question,rewrite,model_output,accuracy
你好 我来苏州度假 帮我找一个高新区的1星级酒店,如家酒店很符合您,如家酒店的大床房的房费是多少,如家酒店的大床房的房费是多少,如家酒店的大床房的房费是多少,
你觉得易烊千玺怎么样,等你单曲,是他这个人,是易烊千玺这个人,易烊千玺这个人,
您好 我想买一台8GB内存 i5的CPU 预算5000到10000元的笔记本电脑 推荐一款,推荐您买联想小新Air,联想小新Air的裸机重量是多少,联想小新Air的裸机重量是多少,联想小新Air的裸机重量是多少,
杨超越知道么,她的粉丝真的好多诶,你觉得唱歌好听么,你觉得杨超越唱歌好听么,杨超越你觉得唱歌好听么,
你说的是歌曲春泥的歌词,不是歌词越来越水是好的歌词本就难写出来,你会写词吗,你会写春泥的词吗,你会写歌曲春泥的歌词吗,
好的 下周三下午广州去杭州的车有吗,为您推荐一列车 D933次,下周三下午广州去杭州的高铁有吗,下周三下午广州去杭州的高铁有吗,下周三下午广州去杭州的高铁有吗,
那还有什么呢,今天不是有新电影么 一触即发,导演和主演是谁,一触即发的导演和主演是谁,一触即发的导演和主演是谁,
我跟前男友复合了,好可惜你又被撩走了,怎么跟他相处呢,怎么跟前男友相处呢,怎么跟前男友相处呢,
我幼儿园的,那你上小学了,没呢,没上小学呢,我还没上小学,
你认识杨洋吗,呃算认识吧,真的,你真的认识杨洋,真的杨洋你认识吗,
会计,哪里的会计工作,在洛阳做,在洛阳做会计工作,在洛阳做会计工作,
苏州慢享主题酒店有停车场吗,酒店有收费停车场,好吧 我再详细咨询一下酒店吧 你有苏州慢享主题酒店电话吗,好吧 我再详细咨询一下酒店吧 你有苏州慢享主题酒店电话吗,苏州慢享主题酒店有电话吗,
那生活大爆炸第十二季的主演都有些谁,主演有吉姆 帕森斯 约翰尼 盖尔克奇 凯莉 库柯,生活大爆炸第十二季的豆瓣评分是多少,生活大爆炸第十二季的豆瓣评分是多少,生活大爆炸第十二季的豆瓣评分是多少,
你觉得王杰希帅吗,王杰希就是荣耀的王不留行哦游戏里见到王杰希可要小心啦,他帅吗,王杰希帅吗,王杰希帅吗,
乐乐茶的评分怎样,4 5,乐乐茶的电话多少,乐乐茶的电话多少,乐乐茶的电话多少,
我想去海边玩,海边有什么好,有椰子树阳光还有沙滩,海边有椰子树阳光还有沙滩,海边有椰子树阳光还有沙滩,
郭添开呀,郭添开是谁阿,曾经他是我最喜欢的人呀,曾经郭添开是我最喜欢的人呀,郭添开曾经是郭添开最喜欢的人呀,
辅导班上课最好是每周六的下午 我不上班 可以接孩子,我推荐您新区的PM5J44004A哦,PM5J44004A的老师是谁呢 在哪个校区呢,PM5J44004A的老师是谁呢 在哪个校区呢,PM5J44004A的老师是谁呢 在哪个校区呢,
我去打麻将了,麻将打得好么,贼溜,我麻将打得贼溜,麻将打得贼溜,
多喝热水,没热水啊,烧啊,没热水烧啊,烧热水,
你好 这几天在苏州度假 明天想去天平山景区 这个地方有什么特点吗,这里是范仲淹先祖归葬地 可以走乱石路体验爬山乐趣 11月中下旬能赏红枫,那地铁能到天平山景区吗,那地铁能到天平山景区吗,那地铁能到苏州天平山景区吗,
到哪儿去玩去了,北京,好玩吗,北京好玩吗,北京好玩吗,
网球如何进学校,你是篮球俱乐部的吗,不是啊,不是篮球俱乐部啊,网球如何进学校,
你好 我想买辆SUV 比较信赖上汽大众 麻烦您帮我推荐一款 平时6个人坐的 谢谢了,好的 为您推荐途观L380TSI自动四驱R Line旗舰版,途观L380TSI自动四驱R Line旗舰版的价格是多少,途观L380TSI自动四驱R Line旗舰版的价格是多少,途观L380TSI自动四驱R Line旗舰版的价格是多少,
你好 我想买辆汽油驱动的SUV 20到30万的 你帮我推荐一款吧,好的 为您推荐途岳330TSI四驱豪华版,途岳330TSI四驱豪华版这款车有座椅加热功能不,途岳330TSI四驱豪华版这款车有座椅加热功能不,途岳330TSI四驱豪华版有座椅加热功能吗,
这个价格也可以接受 哈哈 你知道唐宫海鲜舫的评分好不好吗,餐厅评分是4 6 整体来说还不错,对 我们可以去尝尝 对了 姑苏区附近有4星级酒店吗,对 我们可以去尝尝 对了 姑苏区附近有4星级酒店吗,姑苏区附近有4星级酒店吗,
你知道雨果吗,电影还是作家,他的作品你怎么看,雨果的作品你怎么看,雨果的作品你怎么看,
陈瑶,陈瑶是谁,是岳绮罗,陈瑶是岳绮罗,陈瑶是岳绮罗,
华谊兄弟电影世界坐地铁可以直达吗,正如您所期望的 地铁可以直达,可以地铁直达也太好了吧 再麻烦你告诉我一下华谊兄弟电影世界的电话号码是多少吧,可以地铁直达也太好了吧 再麻烦你告诉我一下华谊兄弟电影世界的电话号码是多少吧,华谊兄弟电影世界可以地铁直达也太好了吧 再麻烦你告诉我一下华谊兄弟电影世界的电话号码是多少吧,
淘气包马小跳可以吗,一两部也行不用推荐太多,本来就是一本书,淘气包马小跳本来就是一本书,淘气包马小跳本来就是一本书,
爱人,什么是爱人,就是结为夫妻,爱人就是结为夫妻,爱人就是结为夫妻,
桑塔纳1 5L自动舒适版有座椅通风功能吗,不好意思 没有这个功能,桑塔纳1 5L自动舒适版有座椅加热吗,桑塔纳1 5L自动舒适版有座椅加热吗,桑塔纳1.5L自动舒适版有座椅加热功能吗,
汤圆呢,黑芝麻滴最好吃,不好吃,黑芝麻的汤圆不好吃,汤圆不好吃,
你认识bill吗,比尔盖茨,给我谈谈他吧,给我谈谈比尔盖茨吧,给我谈谈比尔盖茨吧,
好的 我知道了 你还得帮我查查常熟有意思连锁酒店有没有停车场,这个酒店提供免费的停车场服务,真是太好了 我可以开车过去了 这个问题我已经纠结很久了,真是太好了 我可以开车过去了 这个问题我已经纠结很久了,真是太好了 我可以开车过去了 常熟有意思连锁酒店的停车场问题我已经纠结很久了,
我比宋慧乔谁美,化妆也是锦上添花诸位认为这女人化妆能美过宋慧乔吗,我不化妆也比她美,我不化妆也比宋慧乔美,我不化妆也比宋慧乔美,
D638从成都出发的时间是几点呢,当天07 05就可以出发了,D638几点能到达南京呢,D638几点能到达南京呢,D638从成都出发几点能到达南京,
,,,,,0.462
