history1,history2,question,rewrite,model_output,accuracy,semantic_related
起床买东西去,怎么买东西,上市场买,上市场买东西,起床去市场上买东西,,0
你知道一粒红尘吗,一粒红尘你说绝望我说破碎,是谁写的,一粒红尘是谁写的,一粒红尘是谁写的,,1
你不是玩cf吗怎么来玩王者荣耀了,我叫你和我一起玩cf,他好玩好玩真好玩,cf好玩好玩真好玩,CF好玩真好玩,,0
请问印象城门票多少钱一位,这里不需要购买门票 您直接去就可以啦,请将印象城景点具体的营业时间提供给我一下,请将印象城景点具体的营业时间提供给我一下,请将印象城景点具体的营业时间提供给我一下,,1
多少钱一份,十块钱一份叉烧饭,给我来一份,给我来一份叉烧饭,给我来一份十块钱一份叉烧饭,,0
猛龙过江的主演名单都有谁呢,这部电影的主演名单有李小龙 苗可秀 罗礼士,好的 那猛龙过江的片长为多长时间呢 还有 具体上映时间在什么时候呢,好的 那猛龙过江的片长为多长时间呢 还有 具体上映时间在什么时候呢,猛龙过江的片长为多长时间，具体上映时间在什么时候,,0
闪之轨迹4什么时候出,2013年出不过是PS3和PSV版本的如果你 PC的话就算出也要几年才有,什么鬼,闪之轨迹4是什么鬼,什么鬼,,0
哦哦 怕会晚点呀 下周四深圳什么天气呀 多少度,下周四深圳是多云的天气 最高温度20摄氏度 最低温度14摄氏度,好的 下周四深圳紫外线强吗,好的 下周四深圳紫外线强吗,好的 下周四深圳紫外线强吗,,1
你知道谁是薛之谦吗,薛之谦是喜剧之王,那是我偶像,薛之谦是我偶像,薛之谦是我的偶像,,0
厦门风大吗,风不大 东北风2级,厦门紫外线强吗,厦门紫外线强吗,厦门紫外线强吗,,1
想吃烤串啊,吃完再走呗,会不会发胖啊,吃烤串会不会发胖啊,吃烤串会不会发胖啊,,1
初音未来的有好多人听呢,就是那个岛国妹纸吗,是的她还可以唱中文,是的初音未来还可以唱中文,初音未来的中文歌曲有哪些,,0
帮我查查下周六深圳的天气的吧,好的 下周六深圳是多云的天气 适合出行,哦 下周六深圳热吗 因为我们要有一些户外的活动,哦 下周六深圳热吗 因为我们要有一些户外的活动,哦 下周六深圳天气热吗 因为我们要有一些户外的活动,,0
苏州城市便捷酒店的停车场收费么,停车场是免费的,苏州城市便捷酒店的地址在什么地方,苏州城市便捷酒店的地址在什么地方,苏州城市便捷酒店的地址在哪里,,0
收到 熬八年火锅的电话是多少呀 去之前我想先打电话联系一下,餐厅电话是0512 68783880,我记下了 熬八年火锅网上评分怎么样 偏高还是偏低呀,我记下了 熬八年火锅网上评分怎么样 偏高还是偏低呀,熬八年火锅网上评分怎么样 偏高还是偏低呀,,0
老头子还没有表示投资,好个老头,等他来了中国再说吧,等老头子来了中国再说吧,等老头子来了中国再说吧,,1
好哒 那你知道不能说的秘密的主演名单吗,嗯 这部电影的主要名单包括周杰伦 桂纶镁 黄秋生和苏明明,哦哦 不能说的秘密原来是桂纶镁主演的啊 那应该挺好看,哦哦 不能说的秘密原来是桂纶镁主演的啊 那应该挺好看,哦哦 不能说的秘密原来是桂纶镁主演的啊 那应该挺好看,,1
哈喽 我很喜欢追剧 可以推荐我一部堺雅人演的日本剧吗,您好 推荐您一部片名为胜者即是正义的剧,好的 请问胜者即是正义的首播时间是在什么时间呢,好的 请问胜者即是正义的首播时间是在什么时间呢,胜者即是正义的首播时间是什么时候,,0
眼里有银河,银河是什么样子,繁星满天,银河里繁星满天,繁星满天是什么样子,,0
只喜欢吴家豪,恩 喜欢 ,他不喜欢我,吴家豪不喜欢我,吴家豪不喜欢我,,1
你猜我对象帅不帅,帅毙了你对象呢,而且他对我超好,而且我对象对我超好,而且我对象对我超好,,1
四川航空3U8548什么时间从北京起飞呢 我好早点到机场,当天10 10起飞哟,四川航空3U8548到成都的时间呢,四川航空3U8548到成都的时间呢,四川航空3U8548从北京起飞后到成都的时间呢,,0
你认识杨晓光么,认识,那你给他打个电话,那你给杨晓光打个电话,给杨晓光打电话,,0
你英语怎么样,英语四级刚过,六级呢,英语六级呢,英语六级怎么样,,0
黑龙江,黑龙江在哪里,在东北,黑龙江在东北,黑龙江在东北,,1
那天台爱情的片长是多久,它的片长是117分钟,那天台爱情的豆瓣评分怎么样,那天台爱情的豆瓣评分怎么样,那天台爱情的豆瓣评分怎么样,,1
你好 下周一我想从上海坐飞机去成都旅游 要公务舱 帮我找一班飞机吧 顺便帮我看下票价,给您推荐中国国航CA4592 浦东国际机场T2 双流国际机场T2 票价是1280元,好 中国国航CA4592下周一从上海去成都的起飞时间和到达时间也发我一下呗,好 中国国航CA4592下周一从上海去成都的起飞时间和到达时间也发我一下呗,好 中国国航CA4592下周一从上海去成都的起飞时间和到达时间也发我一下呗,,1
惠普暗影精灵系列的TG01 073rcn电脑的硬盘有多大容量 显卡是什么型号的,硬盘的容量是256GBSSD 1TBHDD 显卡的型号是GTX1660的,惠普暗影精灵系列的TG01 073rcn电脑游戏的性能怎么样 裸机有多沉,惠普暗影精灵系列的TG01 073rcn电脑游戏的性能怎么样 裸机有多沉,惠普暗影精灵系列的TG01 073rcn电脑游戏的性能怎么样 裸机有多沉,,1
没记错的话你爱豆是TFBOYS,不是,为啥不是,为啥不是TFBOYS,为啥不是TFBOYS,,1
你好 我想带朋友在苏州玩 先帮我推荐个消费水平中等的地方,有很多景点可以供您选择 请问您想去苏州哪个区呢,我家在吴中区附近住 最好是在吴中区帮我找个景点,我家在吴中区附近住 最好是在吴中区帮我找个景点,吴中区附近的消费水平中等的景点,,0
你好 我想去吴中区找一个能地铁直达的山水景区和女友去玩玩 求推荐,推荐您去金鸡湖景区,行啊 因为我没有车 您确认地铁直达金鸡湖景区是吗,行啊 因为我没有车 您确认地铁直达金鸡湖景区是吗,行啊 因为我没有车 您确认地铁直达金鸡湖景区是吗,,1
我想问一下家有仙妻的首播时间是什么时候呀,中国台湾首次播出时间是1991年4月23日,家有仙妻的导演是谁,家有仙妻的导演是谁,家有仙妻的导演是谁,,1
关于熬夜什么呀,晚睡没有什么好处坏处可不少,有什么坏处啊,熬夜有什么坏处啊,熬夜有什么坏处啊,,1
你知道qq飞车手游,我飞车可牛,多少级了,qq飞车多少级了,多少级了,,0
明天要领通知书了,我是上周领的这周拿出来用的还在领么,我要去嘛,我要去领通知书嘛,明天要领通知书，我要去领吗,,0
这么便宜 再看看CA4592下周六从上海到成都公务舱多少钱,公务舱1280元,好的 CA4592下周六从上海到成都具体起飞和到达时间是几点 我朋友要去接我 我提前告诉他一下,好的 CA4592下周六从上海到成都具体起飞和到达时间是几点 我朋友要去接我 我提前告诉他一下,CA4592下周六从上海到成都公务舱的具体起飞和到达时间是几点,,0
我喜欢黄家强,黄家强是谁啊,他是歌手,黄家强是歌手,黄家强是歌手,,1
我要买车,买保时捷,买不起,保时捷买不起,买保时捷买不起,,0
你给我打个电话,该给你打自然就打了别捉急,给我打,给我打电话,你给我打电话,,0
那PE4P23037什么时候开始上课呢 辅导班的老师是谁呢,该辅导班于2020年3月6日由茹梦莎老师为学生授课,那茹梦莎是以什么方式上课呢,那茹梦莎是以什么方式上课呢,那茹梦莎老师是以什么方式上课呢,,0
你会写剧本不,你有很多没写完的故事,你能帮我写一个吗,你能帮我写一个剧本吗,你能帮我写一个没写完的故事吗,,0
你好 我在考虑买辆桑塔纳 低配的就行 麻烦你推荐一下吧,好的 为您找到桑塔纳1 5L自动舒适版,桑塔纳1 5L自动舒适版的价格是多少呢,桑塔纳1 5L自动舒适版的价格是多少呢,桑塔纳1.5L自动舒适版的价格是多少呢,,0
你好 我家在南京 我想请问一下下周四那边的天气,好哒 帮您查询到下周四南京的天气是多云,我想请问一下下周四南京的温度怎么样,我想请问一下下周四南京的温度怎么样,下周四南京的温度怎么样,,0
你好 我在考虑买辆汽车 中大型的三厢车 两驱的吧 麻烦你帮我推荐一下呗,好的 这边帮您找到辉昂380TSI两驱豪华版,辉昂380TSI两驱豪华版的价格是多少啊,辉昂380TSI两驱豪华版的价格是多少啊,辉昂380TSI两驱豪华版的价格是多少啊,,1
你好 我朋友来苏州找我玩 想找一个价位中等的餐厅 最好在姑苏区,农乐园炭火烤肉很不错,农乐园炭火烤肉的电话号码是多少,农乐园炭火烤肉的电话号码是多少,农乐园炭火烤肉的电话号码是多少,,1
夜宵吃什么,吃麻辣烫,哪家好吃,哪家麻辣烫好吃,哪家麻辣烫好吃,,1
证件照,证件照上是个美女,看看你的,看看你的证件照,看看你的证件照,,1
你知道巫翠怡吗,不知道,她特别恐怖,巫翠怡特别恐怖,巫翠怡特别恐怖,,1
你好 我在吴中区 请你在本区域帮我查找一个儿科比较好的医院,推荐您去苏州市吴中人民医院,苏州市吴中人民医院的具体地址在什么地方呢,苏州市吴中人民医院的具体地址在什么地方呢,苏州市吴中人民医院的具体地址在哪里,,0
常熟长江路亚朵酒店有标准间吗,当然有标准间了,我想问一下常熟长江路亚朵酒店的地址在哪里,我想问一下常熟长江路亚朵酒店的地址在哪里,常熟长江路亚朵酒店的地址在哪里,,0
我喜欢喜剧片,推荐您看请回答1988,请回答1988的主演都有些谁,请回答1988的主演都有些谁,请回答1988的主演都有哪些人,,0
你好 我下周五去深圳 请你帮我查一下下周五那天的有没有风,当天有2级东风,下周五深圳的天气是怎么样呢,下周五深圳的天气是怎么样呢,下周五深圳的天气怎么样,,0
病娇的英文怎么写,问我就对了翻译过来是,怎么写,病娇的英文怎么写,病娇的英文怎么写,,1
IT这门行业怎么样,不过我是IT行业的,我知道前景怎么样,我知道IT行业前景怎么样,IT这门行业的发展前景怎么样,,0
联想天逸510Pro有什么特性吗,未查询到特性,联想天逸510Pro待机时间长吗,联想天逸510Pro待机时间长吗,联想天逸510Pro待机时间长吗,,1
在凌源市第二高级中学,上初中呢,嗯嗯在这儿上初中呢,嗯嗯在凌源市第二高级中学上初中呢,嗯嗯在凌源市第二高级中学上初中呢,,1
再看看D2294的二等座多少钱,二等座637 0元,二等座便宜一些 哈 D2294具体几点发车,二等座便宜一些 哈 D2294具体几点发车,D2294二等座便宜一些，具体几点发车,,0
不错啊 那戴尔 DELL OptiPlex7070MT显卡是什么型号的啊,显卡型号是丽台P2000,嗯好 戴尔 DELL OptiPlex7070MT价格是多少啊,嗯好 戴尔 DELL OptiPlex7070MT价格是多少啊,戴尔 DELL OptiPlex7070MT价格是多少啊,,0
什么是饕餮,饕餮是什么,我哪知道,我哪知道饕餮是什么,我哪知道饕餮是什么,,1
好的 那把苏州博物馆的电话告诉我 找不到打电话 哈,电话是0512 67575666,对了 苏州博物馆评分怎么样呀,对了 苏州博物馆评分怎么样呀,苏州博物馆评分怎么样,,0
去哪好呢,去丽江,有什麼好吃的,丽江有什麼好吃的,丽江有什么好吃的,,0
好 我还想对比一下同价格区间的MacBookAir系列的电脑 也给推荐一款,推荐Apple2019款MacBookAir13 3,Apple2019款MacBookAir13 3的硬盘容量多大,Apple2019款MacBookAir13 3的硬盘容量多大,Apple2019款MacBookAir13 3的硬盘容量多大,,1
你看过知否吗,是电影吗,赵丽颖的新剧,知否是赵丽颖的新剧,赵丽颖的新剧是什么,,0
羽毛球,羽毛球我也会,一起打吗,一起打羽毛球吗,一起打羽毛球吗,,1
你好 来苏州旅游 想在姑苏区找个适合家庭亲子的景点,您可以带孩子去拙政园,拙政园门票价格是多少,拙政园门票价格是多少,拙政园门票价格是多少,,1
小微会做饭吗,满汉全席都不是问题,教我,教我做饭,教我做饭,,1
你好 我下周要去苏州 请你帮我查一下下周三苏州那边的天气怎么样,下周三苏州是阴天,我对紫外线过敏 下周三苏州的紫外线强度是多少呢,我对紫外线过敏 下周三苏州的紫外线强度是多少呢,我对紫外线过敏 下周三苏州的紫外线强度是多少呢,,1
世界杯什么时候开始,开幕式在6月14号一直到7月15才结束呢,提醒我看,提醒我看世界杯,世界杯6月14号开幕的提醒,,0
你好 我考虑买一辆汽车 最好是中小型的SUV 给我推荐一下吧,你好 符合您要求的车比较多 请问您想买两驱的还是四驱的,我希望买的是四驱驱动的中小型的SUV,我希望买的是四驱驱动的中小型的SUV,四驱驱动的中小型SUV,,0
苏州金鸡湖李公堤瑞贝庭公寓酒店的评分咋样,评分是4 6,苏州金鸡湖李公堤瑞贝庭公寓酒店房费是多少,苏州金鸡湖李公堤瑞贝庭公寓酒店房费是多少,苏州金鸡湖李公堤瑞贝庭公寓酒店房费是多少,,1
泰山怎么样,泰山是我国的五岳之首有中华国山天下第一山之美誉又称东岳列中华十大名山之首位于山东泰安泰山也是佛道两教兴盛之地是历代帝王朝拜之山,比较好爬的山,泰山是比较好爬的山,泰山比较好爬的路线或部分,,0
厦门紫外线怎么样 强不,当天很强呢,再看看下周日北京什么天呀 我要去北京办点事,再看看下周日北京什么天呀 我要去北京办点事,下周日北京天气如何 我要去北京办点事,,0
苏州大学附属儿童医院门诊时间是,7 45 11 00 13 00 16 00 这两个时间段都可以,苏州大学附属儿童医院具体的地址是什么呢,苏州大学附属儿童医院具体的地址是什么呢,苏州大学附属儿童医院具体的地址是什么呢,,1
我玩Xbox,xbox多少钱,是一个如果你还没拥有说明你已经out的东东doge里面有我姐姐姐夫帅炸了,Xbox是一个如果你还没拥有说明你已经out的东东doge里面有我姐姐姐夫帅炸了,Xbox是一个如果你还没拥有说明你已经out的东东doge里面有我姐姐姐夫帅炸了,,1
林书豪,林书豪是首位进入NBA的美籍华裔球员哦听起来就很酷,你认识他,你认识林书豪,你认识林书豪吗,,0
嗯嗯 帮我查查苏州大学附属儿童医院有没有DSA呢,有DSA的,嗯嗯再帮我看看苏州大学附属儿童医院的门诊时间是几点呢,嗯嗯再帮我看看苏州大学附属儿童医院的门诊时间是几点呢,嗯嗯再帮我看看苏州大学附属儿童医院的门诊时间是几点呢,,1
你知道声之形吗,哈哈哈知道了,之前你不知道吗,之前你不知道声之形吗,之前你不知道声之形吗,,1
中国国航CA1310的准点率是可以的 到达北京的时间是什么时候,正常是当日中午11点55分抵达,对了 中国国航CA1310的公务舱是多少钱,对了 中国国航CA1310的公务舱是多少钱,中国国航CA1310公务舱的价格是多少,,0
大猪蹄子,男人都是大猪蹄子哈哈,你也是吧,你也是大猪蹄子吧,大猪蹄子你也是吧,,0
我要去找我男朋友复合了,忽然感觉心里空落落的快哭,我要弄死他,我要弄死我男朋友,我要弄死我男朋友,,1
不喜欢江映蓉,我喜欢江映蓉超级喜欢虽然我是女的,不想看她,不想看江映蓉,不想看江映蓉,,1
不是是脱口秀,说实话的节目,嗯一起去不,嗯一起去看脱口秀不,嗯一起去脱口秀节目不,,0
你看过非自然死亡吗,好看吗,嗯非常好看的一个电视剧,嗯非自然死亡是非常好看的一个电视剧,嗯非自然死亡非常好看的一个电视剧,,0
我女朋友太美了怎么办,转移注意力,她又瘦又美,我女朋友又瘦又美,我女朋友又瘦又美,,1
你知道priest吗,priest的部分作品特别有笔力,你看过她的书吗,你看过priest的书吗,你知道priest的书吗,,0
猜我喜欢的动漫人物,火影忍者里面的鸣人,不是,不是鸣人,不是火影忍者里面的鸣人,,0
你好 能帮我查一下从成都到杭州的航班吗,好的 请问您要查询哪一天的航班,帮我看一下下周三成都到杭州的航班的信息 谢谢,帮我看一下下周三成都到杭州的航班的信息 谢谢,下周三从成都到杭州的航班信息,,0
我又没在南京,你觉得南京有什么好吃的呢,我没去过啊我怎么知道,我没去过南京啊我怎么知道,我没去过南京，所以不知道南京有什么好吃的,,0
嗯嗯 可否再告知一下神探伽利略一共有多少集呢,这部剧一共才10集,嗯嗯 那神探伽利略挺好的 正好一个周末就看完了,嗯嗯 那神探伽利略挺好的 正好一个周末就看完了,嗯嗯 那神探伽利略挺好的 正好一个周末就看完了,,1
那你的孩子不是你的孩子的主演都有些谁,它的主演有柯素云 刘子铨 曾少宗 凌心妤,你的孩子不是你的孩子的豆瓣评分是几分,你的孩子不是你的孩子的豆瓣评分是几分,你的孩子不是你的孩子的豆瓣评分是几分,,1
你认识温婉荃吗,认识  s,帮我转达他,帮我转达温婉荃,帮我转达温婉荃,,1
厦门房价会降吗,不可能降,为什么,厦门房价为什么不可能降,厦门房价为什么不可能降,,1
你好 我来苏州旅游 想在姑苏区找个地方玩,您好 您是和朋友一起来的吗,是的 请帮我在姑苏区找一个花销小一点的地方,是的 请帮我在姑苏区找一个花销小一点的地方,是的 请帮我在姑苏区找一个花销小一点的地方玩,,0
你有偶像吗,那可太多了哦,是谁,你偶像是谁,你有偶像吗是谁,,0
不复习要挂科的了,一科挂了没关系利用寒假补回来嘛,怎么可能没关系,一科挂了怎么可能没关系,一科挂了怎么可能没关系,,1
你好 我来苏州度假 听说甪直古镇挺好玩的 请问地铁能直达吗,不能的哟 您可以叫个车去,好的 帮我查查甪直古镇的门票多少钱,好的 帮我查查甪直古镇的门票多少钱,好的 帮我查查甪直古镇的门票价格,,0
那你看过声之形嘛,制作倒是很精良细节处理挺有意思也蛮出彩但整体节奏凌乱像是番剧剪辑成电影一样,你觉得男主怎么样,你觉得声之形的男主怎么样,你觉得声之形男主怎么样,,0
李世民是谁,皇帝,哪个朝代的,李世民是哪个朝代的,李世民是哪个朝代的皇帝,,0
考研英语复习什么,考研的英语哦,要买什么书,考研要买什么书,考研英语复习要买什么书,,0
好吧 沙家浜风景区附近有便宜一些的餐厅吗,推荐您蟹王酒楼,哦 蟹王酒楼推荐菜是什么 地址在哪啊,哦 蟹王酒楼推荐菜是什么 地址在哪啊,沙家浜风景区附近的蟹王酒楼推荐菜是什么，地址在哪啊,,0
你玩怪物猎人吗,当然是玩怪物猎人啦,喜欢什么武器,喜欢怪物猎人里的什么武器,你玩怪物猎人时喜欢什么武器,,0
你头发是卷发还是直发,黑色直发,贴头皮么,直发贴头皮么,黑色直发贴头皮么,,0
我很喜欢薛之谦,不但喜欢薛之谦的歌更喜欢的是他的善良,那你觉得我配的上他不,那你觉得我配的上薛之谦不,那你觉得我配得上薛之谦吗,,0
六安去哪玩,去大梅沙,在哪,大梅沙在哪,六安去大梅沙玩在哪,,0
你好 我下周一下午要从上海到北京去 您能给推荐一个高铁吗,给您推荐这个G14 上海虹桥 北京南,G14什么时候到达北京呢,G14什么时候到达北京呢,G14什么时候到达北京南,,0
你好 忙不 我的爱好是追剧 特别喜欢看中国大陆剧 你能帮我推荐一部李瑞主演的电视剧吗,他的作品不太多  快乐星球 挺不错的 推荐给你吧,好的 快乐星球的首播时间是什么时候呀,好的 快乐星球的首播时间是什么时候呀,快乐星球的首播时间是什么时候呀,,0
漫心苏州天平山酒店地址在哪了,地址在苏州吴中区木渎镇灵天路699号,漫心苏州天平山酒店电话号码多少了,漫心苏州天平山酒店电话号码多少了,漫心苏州天平山酒店电话号码多少了,,1
明天早上早餐吃什么啊,吃豆浆油条,不好吃,豆浆油条不好吃,明天早上吃的豆浆油条不好吃,,0
最近什么动漫火,看过灌篮高手吗,太老了,灌篮高手太老了,最近什么动漫火 太老了,,0
你好 我要来苏州旅游 想去吴中区找一个适合家庭亲子的景点,西山景区很符合您的要求,西山景区评分咋样,西山景区评分咋样,西山景区评分咋样,,1
你会押题么,比较准的押题卷都有内幕的  高考中考没想象中那么那啥,高考,高考的押题卷都有内幕,高考押题卷内幕信息,,0
线性代数 高等数学,有意思吗数学,没意思 所以我不想学,高等数学没意思 所以我不想学,线性代数和高等数学没意思 所以我不想学,,0
那下周五北京到上海的中国国航CA1519这趟航班准点率是多少呢 公务舱票价的多少钱呢,票价是4510元哦 有点小贵呢 准点率达到了98 32 呢,那下周五北京到上海的中国国航CA1519这趟航班起飞时间是什么时候呢,那下周五北京到上海的中国国航CA1519这趟航班起飞时间是什么时候呢,下周五北京到上海的中国国航CA1519这趟航班起飞时间是什么时候,,0
素色搭配我穿的一定好看,你喜欢靴子吗,我觉得不如高跟鞋 除非是为了保暖的假ugg们,我觉得靴子不如高跟鞋 除非是为了保暖的假ugg们,我觉得素色搭配不如高跟鞋好看，除非是为了保暖的假ugg们,,0
我喜欢吴宣仪,就爱吴宣仪,让她以后别来找我了,让吴宣仪以后别来找我了,让吴宣仪以后别来找我了,,1
打算吃 酸辣粉,好吃做酸辣粉更好吃,定外卖了啦 谁要做,定外卖了啦 谁要做酸辣粉,定外卖了啦 谁要做酸辣粉,,1
你好 我想买一辆中型的MPV 两驱的吧 你帮我推荐一款吧,好的 为您推荐蔚揽GTE,蔚揽GTE的价格是多少呢,蔚揽GTE的价格是多少呢,蔚揽GTE的价格是多少呢,,1
我朋友还想对比一下武汉下周日的天气情况 要是天气好就去武汉玩玩,下周日武汉天气 多云转晴 天气不错呦,那武汉下周日的温度呢 会高吧,那武汉下周日的温度呢 会高吧,武汉下周日的温度会高吗,,0
嗯嗯 CZ3831下周日深圳到上海的具体航班信息了解一下,南方航空CZ3831 宝安国际机场T3起飞 飞至虹桥国际机场T2,CZ3831下周日深圳起飞时间是,CZ3831下周日深圳起飞时间是,CZ3831下周日深圳宝安国际机场T3起飞时间是,,0
观前街245号美罗商城东楼5层还好 唐宫海鲜舫营业时间是多会儿 不要去了他们不开门儿,周一至周日 10 00 22 00营业 你这会去就行,那我可以预定一下唐宫海鲜舫的位置吗 能告诉我一下他们的电话号码吗,那我可以预定一下唐宫海鲜舫的位置吗 能告诉我一下他们的电话号码吗,那我可以预定一下唐宫海鲜舫的位置吗，能告诉我一下他们的电话号码吗,,0
你好 我喜欢品尝各种美食 听说苏州的莉莉小炒不错 想了解下 这家店评分如何,好的 为您查到这家店评分是4 5分,那莉莉小炒地址在哪里,那莉莉小炒地址在哪里,莉莉小炒地址在哪里,,0
你好 我想知道下周六北京的天气和温度 谢谢,下周六北京晴天 最高温度9摄氏度 最低温度 3摄氏度,温度不高呀 下周六北京的风力大吗,温度不高呀 下周六北京的风力大吗,下周六北京的风力大吗,,0
你好 我来苏州旅游 请你帮我查找个姑苏区适合家庭亲子的景点,推荐您去拙政园,拙政园有什么特点呀,拙政园有什么特点呀,拙政园有什么特点呀,,1
吃的挺好的,还吃的馒头,不错啊,馒头不错啊,不错啊，吃的挺好的,,0
七夕,害羞希望可以收到一束美美的鲜花,收不到,收不到鲜花,七夕希望收到的鲜花收不到,,0
好的 那么请问洞庭东山附近有地铁吗 我很喜欢坐地铁,抱歉 景点没有地铁直达 你得另想办法了,哦 没关系 有没有地铁先不考虑了 洞庭东山开放时间是什么时候,哦 没关系 有没有地铁先不考虑了 洞庭东山开放时间是什么时候,洞庭东山开放时间是什么时候,,0
羽毛球,请问这个羽毛球馆在哪儿啊,鹰潭一中里,羽毛球馆在鹰潭一中里,鹰潭一中里的羽毛球馆在哪儿,,0
在不在 我希望你能为我查一下苏州市吴中人民医院的地址,可以呀 这家医院的地址是东吴北路61号,那苏州市吴中人民医院能不能做CT检查呢,那苏州市吴中人民医院能不能做CT检查呢,苏州市吴中人民医院能做CT检查吗,,0
这关京东啥事,京东你都不造Out了京东大哥可是中国最大的自营式电商企业有好几千万人都在用呢,这我知道啊,京东我知道啊,这我知道啊,,0
看知否知否应是绿肥红瘦,谁演的,赵丽颖的新作,知否知否应是绿肥红瘦是赵丽颖的新作,赵丽颖的新作是什么,,0
思维导图 怎么样,什么思维导图怎么样嘛,又叫心智导图是表达发散性思维的有效图形思维工具 简单却又很有效是一种实用性的思维工具,思维导图又叫心智导图是表达发散性思维的有效图形思维工具 简单却又很有效是一种实用性的思维工具,思维导图又叫心智导图，是表达发散性思维的有效图形思维工具，简单却又很有效，是一种实用性的思维工具,,0
你好 我想找一个公立的综合医院 能推荐一个吗,推荐您苏州大学附属第一医院,苏州大学附属第一医院门诊时间是啥时候,苏州大学附属第一医院门诊时间是啥时候,苏州大学附属第一医院门诊时间是啥时候,,1
哦 没有 我只是确认一下而已 麻烦你告诉我G85次列车车发时间好吗,早上8点47出发,G85车程大概几个小时呢,G85车程大概几个小时呢,G85次列车车程大概几个小时呢,,0
D942下周五什么时间能到上海呢,次日07 00到上海虹桥,D942下周五多长时间能到上海呀,D942下周五多长时间能到上海呀,D942下周五到上海需要多长时间,,0
你好 帮我找一个下周一下午从广州开往深圳的动车吧 我想要一等座,您好 这段路程的话建议您选择D7553 广州 深圳,可以 那帮我确认一下D7553的一等座的票价吧,可以 那帮我确认一下D7553的一等座的票价吧,D7553从广州开往深圳的一等座票价是多少,,0
火腿肠配上方便面晚上肚子饿的时候必备,吃泡面会死人吗,第一次吃这个,第一次吃泡面,第一次吃火腿肠配上方便面会死人吗,,0
知道安史之乱吗,唐朝好嘛,给我讲讲,给我讲讲安史之乱,安史之乱给我讲讲,,0
你喜欢吃啥,睿睿你喜欢的我都喜欢,别叫我这名字,别叫我睿睿,别叫我睿睿这个名字,,0
你好 我们一家人来苏州玩 想在高新区找一家火锅店先吃个饭 求推荐,推荐您一家去熬八年火锅 非常美味呢,好啊 熬八年火锅的地址在哪,好啊 熬八年火锅的地址在哪,熬八年火锅的地址在哪,,0
我喜欢一个男人他叫周伟,暗恋是什么感觉,应该不是暗恋感觉他应该也喜欢我,应该不是暗恋感觉周伟应该也喜欢我,应该不是暗恋感觉周伟应该也喜欢我,,1
海南航空HU7393机票多少钱,公务舱票价是三千三,好的 下周日有深圳到杭州的航班吗 万一周三我办不完事 周四还不一定能走上,好的 下周日有深圳到杭州的航班吗 万一周三我办不完事 周四还不一定能走上,好的 下周日有深圳到杭州的航班吗 万一周三我办不完事 周四还不一定能走上,,1
要什么三轮车啊,我有自行车 随便借,我也有,我也有自行车,我也有自行车,,1
帮我查查穹窿山景区有电话吗,电话号码是0512 66892763,你再帮我看看穹窿山景区附近的餐厅吧 便宜些的就行,你再帮我看看穹窿山景区附近的餐厅吧 便宜些的就行,穹窿山景区附近的便宜餐厅有哪些,,0
你好 苏州是我们庆祝毕业的旅行首站 请问苏州工业园区有哪些酒店呀,你好 这边酒店选择还挺多的 请问对价位有怎样的要求呢,恩 苏州工业园区的酒店 我想要价位中上的酒店,恩 苏州工业园区的酒店 我想要价位中上的酒店,苏州工业园区价位中上的酒店,,0
我再问一下 下周五厦门气温多高啊,最高温度21摄氏度 最低温度13摄氏度,哦哦 这么暖和啊 那下周五厦门应该得是个晴天吧,哦哦 这么暖和啊 那下周五厦门应该得是个晴天吧,下周五厦门气温21摄氏度，应该是个晴天吗,,0
我的女朋友还爱我么,看女朋友的眼神,她不让我看,女朋友不让我看她的眼神,女朋友不让我看她的眼神,,1
迈腾280TSIDSG舒适型支持座椅加热和定速巡航吗,不好意思 目前还不能使用这两种功能,那迈腾280TSIDSG舒适型座椅通风呢,那迈腾280TSIDSG舒适型座椅通风呢,迈腾280TSIDSG舒适型支持座椅通风吗,,0
唐宫海鲜舫的具体位置在哪,观前街245号美罗商城东楼5层,唐宫海鲜舫的电话号码是多少,唐宫海鲜舫的电话号码是多少,唐宫海鲜舫的电话号码是多少,,1
好的 那D922的二等座多钱呀,二等座票价是 709 0元,D922的二等座行 我一会去订票 谢谢你啦 拜拜喽,D922的二等座行 我一会去订票 谢谢你啦 拜拜喽,D922的二等座票价是709元，我一会去订票 谢谢你啦 拜拜喽,,0
我要kiss,Kiss是什么,亲吻,Kiss是亲吻,亲吻是什么,,0
杨茜,杨茜是谁,一个很好看的小妹妹,杨茜是一个很好看的小妹妹,杨茜是一个很好看的小妹妹,,1
那下周四有没有从广州到北京高铁,也是有的 推荐您坐G70 广州南 北京西,G70二等座票价是多少,G70二等座票价是多少,G70二等座从广州南到北京西的票价是多少,,0
吴丞熙我喜欢你,我也是亲亲,你不能和我抢他,你不能和我抢吴丞熙,吴丞熙你不能和我抢他,,0
北京到西雅图多远,不是西雅图么,多少公里,北京到西雅图多少公里,北京到西雅图多少公里,,1
北京周日有风吗,风不大 北风3 4级,北京周日温度怎么样,北京周日温度怎么样,北京周日温度怎么样,,1
去图书馆吗,你们图书馆在那,正在去,正在去图书馆,正在去图书馆,,1
想念却不能联系确实很难受,这种时候就要转移下注意力,怎样转移,难受怎样转移注意力,怎样转移注意力,,0
